Index:,33,,,,,,, 
Station Description:,North Sea - Helgoland Roads,,,,,,, 
Region:,North Sea,,,,,,, 
Latitude:,54.1833 N,,,,,,, 
Longitude:,7.9 E,,,,,,, 
Measurement Depth/Range:,Surface,,,,,,, 
Long Term Averaging Period:,1991-2020,1991-2020,,,,,, 
11.5,7.81,1.05,4.84,9.46,32.970,0.716,30.866,33.916
Measured Data for year 2016,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.34,33.508,,,,,,
1.5,5.37,32.574,,,,,,
2.5,5.91,32.914,,,,,,
3.5,7.57,33.221,,,,,,
4.5,10.59,31.860,,,,,,
5.5,13.85,32.729,,,,,,
6.5,16.87,32.399,,,,,,
7.5,18.29,31.886,,,,,,
8.5,18.79,32.266,,,,,,
9.5,15.04,32.792,,,,,,
10.5,15.04,33.219,,,,,,
11.5,8.71,33.139,,,,,,
Measured Data for year 2017,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,5.80,32.483,,,,,,
1.5,5.00,33.710,,,,,,
2.5,5.19,33.347,,,,,,
3.5,7.39,31.417,,,,,,
4.5,10.13,31.653,,,,,,
5.5,14.35,32.304,,,,,,
6.5,16.86,32.068,,,,,,
7.5,17.87,32.652,,,,,,
8.5,17.38,32.689,,,,,,
9.5,15.15,33.105,,,,,,
10.5,15.15,31.905,,,,,,
11.5,7.81,32.615,,,,,,
Measured Data for year 2018,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.13,33.464,,,,,,
1.5,4.52,32.941,,,,,,
2.5,3.36,33.658,,,,,,
3.5,5.75,33.469,,,,,,
4.5,9.44,32.748,,,,,,
5.5,13.64,32.542,,,,,,
6.5,17.36,31.710,,,,,,
7.5,18.49,32.651,,,,,,
8.5,17.68,32.823,,,,,,
9.5,14.78,32.677,,,,,,
10.5,14.78,33.265,,,,,,
11.5,8.71,33.916,,,,,,
Measured Data for year 2019,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,5.89,32.800,,,,,,
1.5,5.14,33.056,,,,,,
2.5,5.82,32.352,,,,,,
3.5,7.67,32.041,,,,,,
4.5,10.28,32.178,,,,,,
5.5,13.86,32.756,,,,,,
6.5,16.15,32.559,,,,,,
7.5,17.82,32.948,,,,,,
8.5,17.47,32.877,,,,,,
9.5,15.04,33.009,,,,,,
10.5,15.04,33.265,,,,,,
11.5,8.62,33.452,,,,,,
Measured Data for year 2020,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.98,33.542,,,,,,
1.5,6.21,32.416,,,,,,
2.5,6.53,32.637,,,,,,
3.5,8.05,31.761,,,,,,
4.5,10.30,31.851,,,,,,
5.5,14.05,31.994,,,,,,
6.5,16.37,32.475,,,,,,
7.5,18.49,32.644,,,,,,
8.5,17.70,32.961,,,,,,
9.5,15.03,33.344,,,,,,
10.5,15.03,33.362,,,,,,
11.5,9.25,33.399,,,,,,
Measured Data for year 2021,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.46,33.600,,,,,,
1.5,3.93,33.420,,,,,,
2.5,4.56,32.650,,,,,,
3.5,6.54,30.420,,,,,,
4.5,8.77,30.910,,,,,,
5.5,13.64,31.180,,,,,,
6.5,16.92,32.030,,,,,,
7.5,17.92,32.450,,,,,,
8.5,17.74,31.820,,,,,,
9.5,15.28,32.210,,,,,,
10.5,15.28,32.440,,,,,,
11.5,8.78,32.560,,,,,,
Measured Data for year 2022,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.66,32.688,,,,,,
1.5,5.53,30.809,,,,,,
2.5,6.28,32.550,,,,,,
3.5,7.55,31.617,,,,,,
4.5,11.03,31.549,,,,,,
5.5,14.39,31.968,,,,,,
6.5,16.92,31.969,,,,,,
7.5,18.77,31.704,,,,,,
8.5,17.18,32.672,,,,,,
9.5,14.76,33.043,,,,,,
10.5,14.76,33.513,,,,,,
11.5,8.81,33.682,,,,,,
Measured Data for year 2023,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,7.17,33.420,,,,,,
1.5,5.91,32.139,,,,,,
2.5,5.90,31.370,,,,,,
3.5,7.60,32.504,,,,,,
4.5,10.44,32.082,,,,,,
5.5,14.33,31.922,,,,,,
6.5,17.05,32.651,,,,,,
7.5,18.21,32.401,,,,,,
8.5,18.63,32.678,,,,,,
9.5,15.91,32.723,,,,,,
10.5,15.91,32.371,,,,,,
11.5,8.15,32.416,,,,,,
Measured Data for year 2024,,,,,,,, 
Month,Temperature °C,Salinity,,,,,, 
0.5,6.31,31.521,,,,,,
1.5,6.12,31.700,,,,,,
2.5,6.92,32.529,,,,,,
3.5,8.67,31.995,,,,,,
4.5,12.38,32.459,,,,,,
5.5,14.51,32.296,,,,,,
6.5,17.13,32.202,,,,,,
7.5,18.92,32.078,,,,,,
8.5,18.12,32.378,,,,,,
9.5,14.94,32.911,,,,,,
10.5,14.94,32.726,,,,,,
11.5,9.05,32.543,,,,,,
