1988,10.22,-0.46,-0.69,31.552,-0.835,-2.043
1989,10.95,0.26,0.40,32.225,-0.162,-0.396
1990,11.07,0.38,0.57,32.611,0.224,0.549
1991,9.85,-0.83,-1.24,32.935,0.548,1.342
1992,10.44,-0.25,-0.37,32.840,0.453,1.108
1993,9.72,-0.96,-1.44,32.523,0.136,0.332
1994,10.42,-0.26,-0.39,32.111,-0.277,-0.676
1995,10.96,0.28,0.41,31.356,-1.031,-2.521
1996,8.84,-1.84,-2.75,32.316,-0.072,-0.175
1997,10.05,-0.63,-0.95,32.398,0.011,0.028
1998,10.35,-0.33,-0.49,32.734,0.347,0.848
1999,10.94,0.26,0.39,32.397,0.010,0.025
2000,10.68,-0.00,-0.00,32.152,-0.235,-0.575
2001,10.66,-0.02,-0.03,31.590,-0.798,-1.951
2002,11.01,0.33,0.49,31.963,-0.424,-1.038
2003,10.80,0.12,0.18,32.363,-0.024,-0.058
2004,10.67,-0.01,-0.01,32.371,-0.016,-0.038
2005,10.78,0.10,0.15,32.260,-0.127,-0.310
2006,10.97,0.29,0.43,32.678,0.291,0.712
2007,11.57,0.89,1.33,31.740,-0.647,-1.584
2008,10.97,0.28,0.43,32.622,0.235,0.574
2009,10.69,0.01,0.02,32.762,0.375,0.917
2010,9.61,-1.07,-1.61,32.008,-0.379,-0.926
2011,10.38,-0.30,-0.46,32.238,-0.149,-0.365
2012,10.45,-0.24,-0.35,32.562,0.175,0.429
2013,9.92,-0.76,-1.14,31.766,-0.621,-1.518
2014,11.86,1.18,1.76,32.781,0.394,0.964
2015,11.09,0.41,0.61,32.478,0.091,0.222
2016,11.57,0.89,1.33,32.709,0.322,0.788
2017,11.21,0.53,0.80,32.496,0.109,0.266
2018,10.94,0.26,0.39,32.989,0.602,1.472
2019,11.28,0.60,0.89,32.774,0.387,0.948
2020,11.77,1.08,1.62,32.699,0.312,0.763
2021,11.07,0.39,0.59,32.141,-0.246,-0.602
2022,11.69,1.01,1.51,32.314,-0.073,-0.180
2023,11.75,1.07,1.59,32.390,0.003,0.007
2024,12.11,1.43,2.14,32.278,-0.109,-0.266
