Index:,31,,,,,
Station Description:,Fair Isle Current Water (Waters entering North Sea from Atlantic),,,,,
Region:,North Sea,,,,,
Latitude:,59 N,,,,,
Longitude:,2 W,,,,,
Measurement Depth/Range:,0-100 m,,,,,
"Area:,""LINESTRING(-2.233 59.283, -1.933 59.283)"",,,,,"
Spatial Coverage:,Data are collected from the first two standard stations on the JONSIS line,,,,,
Vertical Coverage:,Average over the depth range,,,,,
Temporal Coverage:,Sampling typically occurs 3 times a year  (April/May then  Sep/Oct and Dec) however periods with higher or lower temporal coverage exist.,,,,,
Seasonal Cycle:,Seasonal cycle of temperature is described for each depth level and removed.,,,,,
Reference:,The Scottish Ocean Climate Status Report. Hughes S.L. (ed.) Marine Scotland Report.,,,,,
Notes:,Mean T and S in first two stations on Jonsis Line,,,,,
Data Source:,MSS - Marine Scotland Science - Aberdeen - UK,,,,,
Contact Name (email):,Bee Berx (b.berx@marlab.ac.uk),,,,,
Location of source datasets:,MSS - Marine Scotland Science - Aberdeen - UK,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Long Term Averaging Period:,1991-2020,1991-2020,,,,
Long Term Mean:,10.148,34.870,,,,
Decimal Year,Temperature °C,Temperature Anomaly °C,Salinity,Salinity Anomaly
  1978.948,     7.98,    -0.86,   35.094,   -0.090
  1979.110,     6.18,    -1.13,   35.076,   -0.133
  1979.460,     6.54,    -0.86,   35.159,   -0.084
  1979.523,     7.43,    -0.60,   35.168,   -0.050
  1979.532,     8.92,     0.49,   34.992,   -0.245
  1979.540,     6.23,    -0.70,   34.952,   -0.228
  1979.805,     7.91,    -1.14,   35.153,   -0.096
  1980.022,     7.23,    -0.86,   35.147,    0.007
  1980.216,     6.27,    -0.79,   35.152,   -0.047
  1980.331,     6.27,    -1.00,   35.161,   -0.076
  1980.492,     6.88,    -1.00,   35.205,   -0.034
  1980.563,     6.80,    -0.57,   35.204,    0.009
  1980.604,     7.25,    -0.56,   35.228,    0.009
  1980.858,     8.91,    -0.85,   35.198,   -0.028
  1980.891,     8.26,    -0.96,   35.187,   -0.017
  1981.014,     6.93,    -1.26,   35.165,    0.041
  1981.189,     6.14,    -0.96,   35.132,   -0.057
  1981.488,     7.30,    -0.36,   35.229,   -0.004
  1981.564,     6.97,    -0.41,   35.210,    0.015
  1981.822,     8.13,    -0.82,   35.262,    0.018
  1981.866,     8.56,    -0.55,   35.190,   -0.030
  1982.137,     6.43,    -0.74,   35.101,   -0.100
  1982.315,     6.63,    -0.59,   35.141,   -0.100
  1982.570,     7.25,    -0.34,   35.191,   -0.009
  1982.641,     7.65,    -0.48,   35.189,   -0.061
  1982.841,     9.37,     0.15,   35.188,   -0.046
  1983.134,     6.80,    -0.47,   35.257,    0.057
  1983.260,     6.63,    -0.43,   35.275,    0.043
  1983.337,     6.94,    -0.35,   35.292,    0.057
  1983.515,     7.23,    -0.20,   35.236,    0.022
  1983.564,     6.64,    -0.29,   35.230,    0.058
  1983.638,     7.61,    -0.48,   35.280,    0.032
  1984.123,     6.59,    -0.67,   35.300,    0.090
  1984.287,     6.24,    -0.90,   35.237,   -0.003
  1984.538,     6.98,    -0.48,   35.282,    0.079
  1984.568,     8.37,     0.07,   35.320,    0.103
  1984.601,     7.68,    -0.12,   35.241,    0.023
  1984.727,     7.68,    -1.17,   35.261,   -0.031
  1985.203,     6.88,    -0.20,   35.236,    0.044
  1985.321,     6.54,    -0.72,   35.217,   -0.025
  1985.562,     6.52,    -0.23,   35.205,    0.048
  1985.611,     8.37,    -0.34,   35.228,   -0.032
  1985.838,     8.39,    -0.56,   35.189,   -0.045
  1986.055,     7.03,    -0.59,   35.181,   -0.028
  1986.321,     6.28,    -0.96,   35.193,   -0.047
  1986.638,     7.13,    -0.91,   35.233,   -0.013
  1987.068,     7.24,    -0.14,   35.139,   -0.064
  1988.057,     8.41,     0.31,   35.148,   -0.039
  1988.473,     7.41,    -0.42,   35.200,   -0.081
  1988.484,     7.32,    -0.30,   35.190,   -0.045
  1988.757,     8.55,    -0.51,   35.215,   -0.065
  1989.058,     8.32,     0.38,   35.151,   -0.040
  1989.378,     7.74,     0.47,   35.237,    0.010
  1989.488,     7.98,     0.42,   35.268,    0.037
  1989.756,    10.00,     0.91,   35.254,   -0.029
  1989.962,     8.80,    -0.09,   35.240,    0.053
  1990.321,     7.57,     0.34,   35.257,    0.017
  1990.449,     7.86,     0.12,   35.261,    0.006
  1990.707,     8.84,    -0.10,   35.280,   -0.018
  1991.290,     7.18,    -0.03,   35.296,    0.052
  1991.751,     8.49,    -0.55,   35.264,   -0.023
  1991.825,     8.99,    -0.20,   35.206,   -0.034
  1992.451,     7.65,     0.21,   35.296,    0.048
  1992.743,     8.66,    -0.45,   35.328,    0.038
  1992.948,     8.46,    -0.51,   35.209,    0.024
  1993.403,     7.08,    -0.45,   35.212,   -0.036
  1993.732,     8.14,    -1.00,   35.241,   -0.057
  1993.959,     8.33,    -0.86,   35.162,   -0.015
  1994.266,     6.39,    -0.92,   35.183,   -0.040
  1995.899,     9.06,    -0.13,   35.211,    0.012
  1996.410,     6.96,    -0.52,   35.112,   -0.129
  1996.790,     7.98,    -0.94,   35.139,   -0.123
  1997.219,     7.04,    -0.17,   35.188,   -0.012
  1997.392,     7.30,    -0.14,   35.209,   -0.026
  1998.216,     7.58,     0.40,   35.188,   -0.008
  1998.756,     8.41,    -0.51,   35.295,    0.009
  1999.315,     7.36,     0.11,   35.327,    0.084
  1999.704,     8.68,    -0.16,   35.295,   -0.003
  1999.940,     9.17,     0.07,   35.216,    0.032
  2000.352,     7.02,    -0.33,   35.244,    0.009
  2000.762,     8.75,    -0.42,   35.259,   -0.024
  2000.934,     9.22,     0.14,   35.201,    0.008
  2001.340,     6.70,    -0.59,   35.098,   -0.136
  2001.762,     8.68,    -0.39,   35.161,   -0.118
  2001.932,     9.25,     0.17,   35.153,   -0.036
  2002.370,     7.71,     0.33,   35.246,    0.016
  2002.729,     9.12,     0.13,   35.271,   -0.022
  2002.934,     8.59,    -0.39,   35.200,    0.009
  2003.288,     7.51,     0.36,   35.204,   -0.039
  2003.710,     9.02,     0.26,   35.257,   -0.036
  2003.937,     9.54,     0.54,   35.312,    0.124
  2004.363,     7.85,     0.48,   35.337,    0.101
  2004.760,     9.84,     0.64,   35.338,    0.059
  2004.934,     8.98,    -0.03,   35.292,    0.103
  2005.348,     7.52,     0.20,   35.353,    0.119
  2005.942,     9.13,     0.16,   35.289,    0.103
  2006.310,     6.91,    -0.25,   35.306,    0.064
  2006.756,     8.35,    -0.84,   35.330,    0.047
  2006.951,     9.36,     0.45,   35.254,    0.071
  2007.321,     7.72,     0.42,   35.255,    0.008
  2007.753,     9.32,     0.36,   35.243,   -0.037
  2007.937,     8.72,    -0.40,   35.245,    0.056
  2008.347,     7.54,     0.21,   35.331,    0.093
  2008.738,     8.56,    -0.46,   35.356,    0.065
  2008.923,     8.92,    -0.31,   35.319,    0.126
  2009.411,     8.00,     0.46,   35.308,    0.062
  2009.751,     9.30,     0.27,   35.299,    0.016
  2009.923,     9.60,     0.37,   35.301,    0.109
  2010.367,     7.09,    -0.23,   35.286,    0.060
  2011.367,     7.36,    -0.01,   35.282,    0.045
  2011.762,     9.72,     0.74,   35.325,    0.049
  2011.945,     9.33,     0.34,   35.256,    0.071
  2012.352,     7.69,     0.41,   35.337,    0.109
  2012.746,     9.00,    -0.01,   35.313,    0.028
  2013.937,     8.31,    -0.71,   35.191,    0.010
  2014.312,     7.35,     0.17,   35.150,   -0.091
  2014.737,     8.57,    -0.33,   35.189,   -0.099
  2014.934,     9.30,     0.33,   35.151,   -0.031
  2015.318,     7.36,     0.17,   35.252,    0.018
  2015.718,     8.79,    -0.18,   35.325,    0.031
  2015.942,     9.62,     0.55,   35.216,    0.040
  2016.317,     7.31,     0.22,   35.205,   -0.024
  2016.740,    10.34,     0.86,   35.137,   -0.162
  2016.943,     9.68,     0.53,   35.121,   -0.065
  2017.386,     8.01,     0.62,   35.164,   -0.060
  2017.773,    11.19,     1.34,   35.195,   -0.078
  2017.951,     8.81,    -0.38,   35.204,    0.040
  2018.348,     6.78,    -0.71,   35.141,   -0.105
  2018.764,    10.87,     0.70,   35.112,   -0.161
  2018.948,     9.31,     0.11,   35.048,   -0.110
  2019.304,     7.71,     0.55,   35.180,   -0.058
  2019.795,     9.56,     0.03,   35.219,   -0.032
  2019.945,     8.88,    -0.06,   35.167,   -0.010
  2020.781,     8.62,    -0.54,   35.182,   -0.077
  2020.964,     9.46,     0.66,   35.128,   -0.051
  2021.332,     7.08,    -0.15,   35.034,   -0.195
  2021.770,     9.21,     0.01,   35.069,   -0.198
  2021.942,     8.87,    -0.10,   35.161,   -0.017
  2022.326,     7.51,     0.30,   35.174,   -0.058
  2022.764,    10.58,     0.93,   35.188,   -0.090
  2022.942,     9.71,     0.73,   35.148,   -0.030
  2023.359,     7.66,     0.34,   35.143,   -0.089
  2023.721,     9.05,     0.02,   35.169,   -0.128
  2023.942,     8.74,    -0.36,   35.143,   -0.047
