Station Description:,Central Skagerrak,
1996.625,6.678,34.992
1996.7083,7.457,35.167
1996.7917,7.212,35.008
1996.875,8.428,34.671
1996.9583,8.04,34.965
1997.0417,6.535,34.983
1997.125,6.745,35.047
1997.2083,6.751,35.139
1997.2917,6.748,35.156
1997.375,6.835,35.131
1997.4583,7.253,35.219
1997.5417,7.3,35.171
1997.625,7.514,35.166
1997.7083,7.541,35.072
1997.7917,7.779,35.079
1997.875,8.624,35.141
1997.9583,7.652,35.2
1998.0417,7.693,35.073
1998.125,6.771,34.994
1998.2083,7.235,35.161
1998.2917,6.871,35.088
1998.375,6.828,34.965
1998.4583,6.752,34.936
1998.5417,7.234,35.159
1998.625,7.37,35.159
1998.7083,7.502,35.187
1998.7917,7.276,35.154
1998.875,8.148,35.015
1998.9583,8.399,35.151
1999.0417,6.178,34.886
1999.125,6.657,35.009
1999.2083,6.587,35.031
1999.2917,6.563,35.136
1999.375,6.636,35.145
1999.4583,6.979,35.084
1999.5417,7.168,35.113
1999.625,7.309,35.197
1999.7083,7.553,35.188
1999.7917,8.097,35.141
1999.875,8.431,35.228
1999.9583,,
2000.0417,7.61,35.124
2000.125,6.225,34.84
2000.2083,6.425,35.097
2000.2917,6.912,35.157
2000.375,7.049,35.188
2000.4583,6.864,35.15
2000.5417,6.978,35.197
2000.625,7.187,35.15
2000.7083,7.367,35.172
2000.7917,7.367,35.168
2000.875,,
2000.9583,8.684,34.853
2001.0417,7.492,34.993
2001.125,6.683,34.981
2001.2083,6.064,34.965
2001.2917,5.136,34.979
2001.375,6.362,35.099
2001.4583,6.636,35.136
2001.5417,6.524,35.074
2001.625,6.806,35.062
2001.7083,6.819,35.035
2001.7917,7.105,35.008
2001.875,7.188,35.002
2001.9583,8.802,35.212
2002.0417,8.145,35.02
2002.125,6.472,34.787
2002.2083,7.179,34.942
2002.2917,6.932,35.099
2002.375,7.03,35.137
2002.4583,7.083,35.117
2002.5417,7.534,35.126
2002.625,7.524,35.152
2002.7083,7.857,35.183
2002.7917,7.655,35.13
2002.875,8.041,35.182
2002.9583,7.624,35.146
2003.0417,7.522,35.058
2003.125,6.742,34.97
2003.2083,5.696,34.934
2003.2917,6.88,35.17
2003.375,6.721,35.142
2003.4583,7.108,35.116
2003.5417,7.504,35.205
2003.625,7.976,35.139
2003.7083,8.069,35.132
2003.7917,8.005,35.16
2003.875,8.268,35.151
2003.9583,8.72,35.312
2004.0417,7.587,34.743
2004.125,6.538,34.996
2004.2083,6.555,35.056
2004.2917,6.989,35.111
2004.375,6.835,35.105
2004.4583,7.459,35.255
2004.5417,7.652,35.243
2004.625,7.698,35.296
2004.7083,7.998,35.282
2004.7917,8.54,35.174
2004.875,,
2004.9583,9.462,35.159
2005.0417,7.617,35.246
2005.125,,
2005.2083,,
2005.2917,6.074,35.141
2005.375,6.803,35.176
2005.4583,7.304,35.206
2005.5417,7.502,35.297
2005.625,7.647,35.26
2005.7083,7.726,35.317
2005.7917,8.006,35.236
2005.875,,
2005.9583,8.334,35.333
2006.0417,6.591,34.927
2006.125,7.362,35.173
2006.2083,7.033,35.16
2006.2917,5.944,35.097
2006.375,6.385,35.172
2006.4583,6.978,35.248
2006.5417,6.925,35.203
2006.625,7.207,35.169
2006.7083,7.34,35.165
2006.7917,7.673,35.212
2006.875,,
2006.9583,,
2007.0417,8.014,34.951
2007.125,7.849,35.236
2007.2083,7.332,35.15
2007.2917,7.278,35.142
2007.375,7.293,35.177
2007.4583,7.704,35.243
2007.5417,7.719,35.141
2007.625,8.024,35.136
2007.7083,8.073,35.123
2007.7917,7.929,35.203
2007.875,,
2007.9583,9.085,34.752
2008.0417,8.759,35.145
2008.125,6.774,34.832
2008.2083,6.899,35.048
2008.2917,6.928,35.155
2008.375,6.922,35.206
2008.4583,7.04,35.172
2008.5417,7.396,35.168
2008.625,7.337,35.094
2008.7083,7.447,35.159
2008.7917,7.507,35.044
2008.875,8.361,35.281
2008.9583,9.13,35.227
2009.0417,6.286,34.889
2009.125,7.524,35.092
2009.2083,6.489,35.099
2009.2917,6.829,35.242
2009.375,6.938,35.179
2009.4583,7.716,35.181
2009.5417,7.761,35.187
2009.625,7.759,35.147
2009.7083,7.979,35.178
2009.7917,,
2009.875,,
2009.9583,8.153,35.197
2010.0417,8.3,34.933
2010.125,,
2010.2083,5.3,34.979
2010.2917,5.285,35.011
2010.375,,
