Station Description:,Central Skagerrak,,,
Region:,9,,,
Latitude:,58.1333 N,,,
Longitude:,9.1833 E,,,
Measurement Depth/Range:,Bottom-water,600m,,
Notes:,Skagerrak bottom-water properties (600m),,,
Data Source:,IMR - Institute of Marine Research - Norway,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,
Data Protection:,Include on ICES website for free distribution.,,,
Decimal Year,Temperature C,Salinity
1981.2917,5.760,35.110
1981.3750,,
1981.4583,5.300,35.099
1981.5417,,
1981.6250,5.370,35.077
1981.7083,5.430,35.112
1981.7917,5.440,35.126
1981.8750,5.510,35.124
1981.9583,5.510,35.118
1982.0417,5.670,35.118
1982.1250,5.520,35.132
1982.2083,5.060,35.083
1982.2917,4.770,35.031
1982.3750,4.780,35.071
1982.4583,4.770,35.067
1982.5417,,
1982.6250,4.840,35.073
1982.7083,4.900,35.075
1982.7917,4.930,35.065
1982.8750,,
1982.9583,5.130,35.086
1983.0417,5.140,35.081
1983.1250,5.250,35.073
1983.2083,5.190,35.069
1983.2917,5.180,35.079
1983.3750,5.220,35.069
1983.4583,,
1983.5417,5.650,35.106
1983.6250,5.390,35.279
1983.7083,5.270,35.086
1983.7917,5.340,35.090
1983.8750,5.370,35.096
1983.9583,5.480,35.094
1984.0417,5.900,35.128
1984.1250,5.640,35.108
1984.2083,5.850,35.120
1984.2917,5.870,35.116
1984.3750,5.750,35.124
1984.4583,5.360,35.151
1984.5417,,
1984.6250,5.340,35.183
1984.7083,5.400,35.181
1984.7917,,
1984.8750,5.520,35.177
1984.9583,5.440,35.177
1985.0417,5.570,35.191
1985.1250,5.550,35.189
1985.2083,5.560,35.136
1985.2917,5.600,35.210
1985.3750,5.080,35.108
1985.4583,5.040,35.108
1985.5417,,
1985.6250,5.040,35.102
1985.7083,5.180,35.116
1985.7917,5.160,35.120
1985.8750,,
1985.9583,5.280,35.138
1986.0417,5.300,35.130
1986.1250,5.540,35.104
1986.2083,5.390,35.114
1986.2917,4.820,35.098
1986.3750,4.910,35.114
1986.4583,5.010,35.104
1986.5417,,
1986.6250,4.910,35.106
1986.7083,5.050,35.098
1986.7917,4.980,35.120
1986.8750,,
1986.9583,,
1987.0417,,
1987.1250,,
1987.2083,,
1987.2917,,
1987.3750,,
1987.4583,,
1987.5417,,
1987.6250,,
1987.7083,,
1987.7917,4.956,35.059
1987.8750,,
1987.9583,,
1988.0417,,
1988.1250,4.991,35.058
1988.2083,5.037,35.053
1988.2917,5.143,35.049
1988.3750,5.055,35.053
1988.4583,5.075,35.050
1988.5417,5.089,35.052
1988.6250,5.129,35.054
1988.7083,,
1988.7917,5.102,35.048
1988.8750,5.097,35.047
1988.9583,5.216,35.049
1989.0417,5.214,35.049
1989.1250,5.240,35.051
1989.2083,5.240,35.049
1989.2917,5.320,35.053
1989.3750,5.328,35.058
1989.4583,5.372,35.058
1989.5417,5.327,35.057
1989.6250,5.543,35.065
1989.7083,5.410,35.059
1989.7917,5.510,35.064
1989.8750,5.733,35.073
1989.9583,5.572,35.064
1990.0417,5.577,35.056
1990.1250,5.624,35.064
1990.2083,6.065,35.086
1990.2917,5.921,35.079
1990.3750,6.220,35.111
1990.4583,6.065,35.089
1990.5417,6.080,35.078
1990.6250,6.029,35.069
1990.7083,6.096,35.071
1990.7917,6.248,35.083
1990.8750,6.363,35.092
1990.9583,7.061,35.177
1991.0417,6.761,35.138
1991.1250,,
1991.2083,,
1991.2917,,
1991.3750,6.355,35.200
1991.4583,6.379,35.216
1991.5417,6.365,35.219
1991.6250,6.448,35.221
1991.7083,6.429,35.219
1991.7917,6.488,35.222
1991.8750,6.466,35.218
1991.9583,6.538,35.219
1992.0417,6.459,35.213
1992.1250,6.586,35.218
1992.2083,6.528,35.217
1992.2917,,
1992.3750,6.596,35.206
1992.4583,,
1992.5417,6.568,35.209
1992.6250,,
1992.7083,6.595,35.201
1992.7917,6.599,35.199
1992.8750,6.600,35.196
1992.9583,,
1993.0417,6.735,35.195
1993.1250,6.751,35.144
1993.2083,6.592,35.157
1993.2917,6.473,35.179
1993.3750,6.183,35.140
1993.4583,6.130,35.130
1993.5417,6.111,35.145
1993.6250,6.122,35.144
1993.7083,,
1993.7917,6.167,35.184
1993.8750,6.268,35.183
1993.9583,6.185,35.193
1994.0417,6.317,35.195
1994.1250,6.332,35.197
1994.2083,6.371,35.200
1994.2917,5.340,35.086
1994.3750,5.506,35.134
1994.4583,5.595,35.143
1994.5417,5.558,35.145
1994.6250,5.588,35.139
1994.7083,,
1994.7917,5.624,35.131
1994.8750,5.620,35.129
1994.9583,5.654,35.122
1995.0417,,
1995.1250,5.677,35.164
1995.2083,5.661,35.165
1995.2917,5.688,35.160
1995.3750,5.701,35.158
1995.4583,5.736,35.145
1995.5417,5.760,35.144
1995.6250,5.731,35.144
1995.7083,5.744,35.172
1995.7917,5.749,35.165
1995.8750,5.841,35.168
1995.9583,5.890,35.174
1996.0417,6.032,35.182
1996.1250,6.151,35.190
1996.2083,4.740,35.018
1996.2917,4.817,35.004
1996.3750,5.321,35.094
1996.4583,5.269,35.070
1996.5417,5.338,35.078
1996.6250,5.412,35.089
1996.7083,5.481,35.094
1996.7917,5.513,35.094
1996.8750,5.538,35.098
1996.9583,5.648,35.076
1997.0417,5.586,35.088
1997.1250,5.601,35.073
1997.2083,5.625,35.077
1997.2917,5.646,35.107
1997.3750,5.588,35.097
1997.4583,5.661,35.098
1997.5417,5.640,35.095
1997.6250,5.621,35.096
1997.7083,5.682,35.096
1997.7917,5.695,35.086
1997.8750,5.782,35.087
1997.9583,5.756,35.083
1998.0417,5.916,35.104
1998.1250,5.929,35.101
1998.2083,5.943,35.100
1998.2917,5.872,35.096
1998.3750,5.918,35.093
1998.4583,6.102,35.088
1998.5417,6.207,35.093
1998.6250,6.249,35.097
1998.7083,6.128,35.088
1998.7917,6.079,35.088
1998.8750,6.247,35.095
1998.9583,6.291,35.096
1999.0417,,
1999.1250,6.825,35.135
1999.2083,6.477,35.103
1999.2917,6.014,35.078
1999.3750,6.193,35.122
1999.4583,6.339,35.147
1999.5417,6.358,35.134
1999.6250,6.459,35.150
1999.7083,6.396,35.147
1999.7917,6.402,35.146
1999.8750,6.427,35.147
1999.9583,,
2000.0417,,
2000.1250,6.643,35.144
2000.2083,6.518,35.138
2000.2917,6.563,35.162
2000.3750,6.738,35.206
2000.4583,6.823,35.208
2000.5417,6.796,35.213
2000.6250,6.864,35.226
2000.7083,6.887,35.234
2000.7917,6.896,35.228
2000.8750,,
2000.9583,6.898,35.226
2001.0417,6.919,35.218
2001.1250,6.899,35.222
2001.2083,6.905,35.216
2001.2917,6.567,35.163
2001.3750,5.726,35.039
2001.4583,5.884,35.073
2001.5417,5.810,35.055
2001.6250,5.831,35.059
2001.7083,5.905,35.068
2001.7917,5.899,35.057
2001.8750,5.977,35.069
2001.9583,5.999,35.071
2002.0417,5.977,35.070
2002.1250,6.055,35.075
2002.2083,5.997,35.057
2002.2917,6.269,35.090
2002.3750,6.129,35.072
2002.4583,6.138,35.097
2002.5417,6.137,35.095
2002.6250,6.195,35.105
2002.7083,6.264,35.115
2002.7917,6.201,35.115
2002.8750,6.353,35.055
2002.9583,6.326,35.128
2003.0417,6.553,35.127
2003.1250,6.506,35.135
2003.2083,6.607,35.144
2003.2917,6.419,35.096
2003.3750,6.598,35.147
2003.4583,6.564,35.149
2003.5417,6.584,35.151
2003.6250,6.548,35.160
2003.7083,6.614,35.111
2003.7917,6.527,35.112
2003.8750,6.557,35.130
2003.9583,6.605,35.187
2004.0417,6.597,35.180
2004.1250,6.672,35.184
2004.2083,6.702,35.187
2004.2917,6.354,35.141
2004.3750,6.381,35.142
2004.4583,6.536,35.155
2004.5417,6.559,35.159
2004.6250,6.496,35.153
2004.7083,,
2004.7917,6.541,35.155
2004.8750,,
2004.9583,6.695,35.164
2005.0417,6.615,35.166
2005.1250,,
2005.2083,,
2005.2917,5.339,35.190
2005.3750,5.365,35.169
2005.4583,5.433,35.176
2005.5417,5.434,35.177
2005.6250,5.449,35.176
2005.7083,5.467,35.177
2005.7917,5.453,35.179
2005.8750,,
2005.9583,5.463,35.172
2006.0417,5.626,35.176
2006.1250,5.692,35.173
2006.2083,5.790,35.183
2006.2917,5.645,35.179
2006.3750,5.782,35.181
2006.4583,5.764,35.177
2006.5417,5.734,35.174
2006.6250,5.767,35.178
2006.7083,5.787,35.173
2006.7917,5.812,35.169
2006.8750,,
2006.9583,,
2007.0417,5.913,35.163
2007.1250,5.872,35.165
2007.2083,5.975,35.162
2007.2917,6.023,35.162
2007.3750,6.072,35.158
2007.4583,6.024,35.158
2007.5417,6.041,35.159
2007.6250,6.027,35.162
2007.7083,6.134,35.167
2007.7917,6.123,35.166
2007.8750,,
2007.9583,6.232,35.167
2008.0417,6.358,35.168
2008.1250,6.423,35.172
2008.2083,6.420,35.159
2008.2917,6.537,35.173
2008.3750,6.356,35.172
2008.4583,6.557,35.173
2008.5417,6.667,35.203
2008.6250,6.458,35.169
2008.7083,6.490,35.183
2008.7917,6.669,35.197
2008.8750,6.629,35.194
2008.9583,6.665,35.195
2009.0417,6.903,35.218
2009.1250,6.870,35.198
2009.2083,6.446,35.209
2009.2917,5.972,35.139
2009.3750,6.171,35.155
2009.4583,6.172,35.150
2009.5417,6.177,35.151
2009.6250,6.174,35.166
2009.7083,6.145,35.153
2009.7917,,
2009.8750,,
2009.9583,6.384,35.165
2010.0417,6.370,35.160
2010.1250,,
2010.2083,6.216,35.127
2010.2917,4.413,34.959
2010.3750,,
2010.4583,4.489,34.965
2010.5417,4.684,34.983
2010.6250,4.773,34.992
2010.7083,4.605,34.978
2010.7917,4.900,35.006
2010.8750,4.712,34.986
2010.9583,4.999,35.015
2011.0417,5.168,35.030
2011.1250,5.027,35.012
2011.2083,5.259,35.043
2011.2917,5.407,35.034
2011.3750,,
2011.4583,6.056,35.193
2011.5417,6.039,35.178
2011.6250,6.053,35.192
2011.7083,,
2011.7917,,
2011.8750,6.037,35.193
2011.9583,,
2012.0417,6.030,35.159
2012.1250,6.088,35.154
2012.2083,,
2012.2917,6.048,35.157
2012.3750,6.047,35.157
2012.4583,6.072,35.158
2012.5417,6.099,35.157
2012.6250,6.114,35.158
2012.7083,6.111,35.158
2012.7917,6.186,35.153
2012.8750,,
2012.9583,6.219,35.155
2013.0417,,
2013.1250,6.228,35.158
2013.2083,6.230,35.158
2013.2917,5.622,35.200
2013.3750,5.337,35.174
2013.4583,5.429,35.180
2013.5417,5.295,35.188
2013.6250,5.447,35.190
2013.7083,5.350,35.194
2013.7917,5.393,35.191
2013.8750,,
2013.9583,5.416,35.193
2014.0417,,
2014.1250,5.596,35.200
2014.2083,5.688,35.202
2014.2917,5.672,35.185
2014.3750,5.654,35.184
2014.4583,5.669,35.184
2014.5417,5.691,35.184
2014.6250,5.764,35.185
2014.7083,5.773,35.185
2014.7917,5.715,35.185
2014.8750,5.816,35.189
2014.9583,,
2015.0417,6.022,35.182
2015.1250,5.981,35.183
2015.2083,6.065,35.178
2015.2917,6.155,35.188
2015.3750,6.072,35.190
2015.4583,6.184,35.186
2015.5417,6.217,35.185
2015.6250,6.196,35.185
2015.7083,6.265,35.187
2015.7917,6.262,35.179
2015.8750,6.230,35.189
2015.9583,6.603,35.203
2016.0417,6.637,35.199
2016.1250,6.770,35.206
2016.2083,6.635,35.186
2016.2917,6.595,35.181
2016.3750,6.593,35.181
2016.4583,6.700,35.184
2016.5417,6.758,35.187
2016.6250,6.731,35.187
2016.7083,6.829,35.190
2016.7917,6.823,35.183
2016.8750,6.837,35.188
2016.9583,6.906,35.189
2017.0417,6.917,35.191
2017.1250,6.920,35.189
2017.2083,6.923,35.189
2017.2917,7.003,35.183
2017.3750,7.055,35.179
2017.4583,7.012,35.185
2017.5417,7.026,35.183
2017.6250,7.033,35.177
2017.7083,7.023,35.172
2017.7917,6.980,35.127
2017.8750,,
2017.9583,,
2018.0417,7.032,35.126
2018.1250,7.006,35.149
2018.2083,,
2018.2917,6.674,35.091
2018.3750,5.652,35.041
2018.4583,5.921,35.140
2018.5417,5.932,35.142
2018.6250,5.956,35.135
2018.7083,5.963,35.136
2018.7917,5.976,35.131
2018.8750,6.021,35.136
2018.9583,5.988,35.137
2019.0417,6.064,35.138
2019.1250,6.078,35.144
2019.2083,6.053,35.139
2019.2917,6.081,35.138
2019.3750,6.072,35.140
2019.4583,6.085,35.133
2019.5417,6.101,35.133
2019.6250,6.136,35.132
2019.7083,6.113,35.138
2019.7917,6.157,35.131
2019.8750,6.293,35.126
2019.9583,6.189,35.130
2020.0417,6.258,35.126
2020.1250,6.253,35.126
2020.2083,,
2020.2917,6.345,35.124
2020.3750,,
2020.4583,6.308,35.124
2020.5417,6.412,35.119
2020.6250,6.325,35.122
2020.7083,,
2020.7917,6.378,35.121
2020.8750,6.405,35.121
2020.9583,6.515,35.118
2021.0417,6.671,35.123
2021.1250,,
2021.2083,6.655,35.122
2021.2917,6.717,35.121
2021.3750,6.706,35.121
2021.4583,,
2021.5417,6.701,35.123
2021.6250,6.723,35.120
2021.7083,6.724,35.119
2021.7917,6.716,35.121
2021.8750,6.726,35.116
2021.9583,6.724,35.120
2022.0417,,
2022.1250,,
2022.2083,6.744,35.115
2022.2917,6.794,35.110
2022.3750,6.776,35.111
2022.4583,6.747,35.113
2022.5417,6.785,35.113
2022.6250,6.918,35.129
2022.7083,6.817,35.116
2022.7917,,
2022.8750,7.059,35.138
2022.9583,6.944,35.128
2023.0417,6.979,35.132
2023.1250,7.055,35.137
2023.2083,6.967,35.131
2023.2917,7.031,35.135
2023.3750,,
2023.4583,7.080,35.137
2023.5417,7.141,35.139
2023.6250,7.101,35.139
2023.7083,7.151,35.140
2023.7917,7.150,35.139
2023.8750,7.161,35.141
2023.9583,7.150,35.140
2024.0417,7.244,35.138
2024.1250,7.258,35.135
2024.2083,7.230,35.135
2024.2917,,
2024.3750,7.290,35.130
2024.4583,,
2024.5417,7.156,35.107
2024.6250,7.198,35.116
2024.7083,7.226,35.116
2024.7917,7.231,35.115
2024.8750,7.212,35.116
2024.9583,,
