# Index:,NWES_013,,,,,,,
# Station Description:,Western Channel Observatory (WCO) - E1 - UK,,,,,,,
# Region Code:,NWES,,,,,,,
# Latitude:,50.033 N,,,,,,,
# Longitude:,4.367 W,,,,,,,
# Detailed Location (WKT):,,,,,,,,
# Measurement Depth/Range:,0-40 m,,,,,,,
# Sampling Frequency:,,,,,,,,
# Long Term Averaging Period:,1991-2020,,,,,,,
# Calculation Methodology:,,,,,,,,
# Data Source:,Marine Biological Association and Plymouth Marine Laboratory - UK,,,,,,,
# Contact Name (email):,Tim J. Smyth (tjsm@pml.ac.uk),,,,,,,
# Notes:,"Data from CTD profiles. Different instruments used. Later period using SeaBird SBE19+",,,,,,,
# Reference:,,,,,,,,
# DOI:,,,,,,,,
# Website:,,,,,,,,
Month,Temperature °C,SD,Min,Max,Salinity,SD,Min,Max
3.383,10.60,35.21,,,,,,
3.850,11.09,35.25,,,,,,
4.371,12.12,35.26,,,,,,
5.217,13.72,35.18,,,,,,
5.983,14.04,35.20,,,,,,
6.371,15.75,35.22,,,,,,
6.855,14.88,35.18,,,,,,
7.274,16.32,35.23,,,,,,
8.450,16.75,35.17,,,,,,
9.403,15.22,35.19,,,,,,
10.950,12.92,35.21,,,,,,
11.371,12.20,35.19,,,,,,
Measured Data for year 2023,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.597,11.17,35.23,,,,,,
0.984,10.50,35.17,,,,,,
2.048,10.43,35.37,,,,,,
2.855,10.44,35.33,,,,,,
3.550,10.62,35.08,,,,,,
4.242,11.56,35.21,,,,,,
4.790,12.88,35.31,,,,,,
5.450,14.10,35.15,,,,,,
5.883,14.88,35.13,,,,,,
6.565,14.00,35.17,,,,,,
7.274,14.61,35.20,,,,,,
7.726,16.43,35.19,,,,,,
8.217,16.39,35.25,,,,,,
9.048,16.02,35.21,,,,,,
9.790,15.03,35.27,,,,,,
10.717,13.44,35.27,,,,,,
Measured Data for year 2024,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.468,11.18,35.27,,,,,,
2.339,10.98,35.32,,,,,,
3.583,11.25,34.99,,,,,,
4.210,11.92,35.03,,,,,,
4.726,13.31,35.21,,,,,,
5.117,13.86,35.19,,,,,,
5.583,13.49,35.17,,,,,,
6.048,14.51,35.16,,,,,,
6.532,15.36,35.14,,,,,,
7.016,16.54,35.13,,,,,,
9.984,15.00,35.17,,,,,,
11.500,12.70,35.26,,,,,,
Measured Data for year 2025,,,,,,,,
Month,Temperature °C,Salinity,,,,,,
0.661,11.30,35.29,,,,,,
1.661,10.54,35.28,,,,,,
4.210,12.31,34.92,,,,,,
4.629,13.52,34.82,,,,,,
5.317,13.62,34.79,,,,,,
5.817,14.65,34.86,,,,,,
6.306,14.56,34.81,,,,,,
7.371,16.20,34.87,,,,,,
8.617,14.90,35.01,,,,,,
9.468,14.67,35.18,,,,,,
10.583,13.85,35.18,,,,,,
