# Index:,NWES_007,,,,,,,,,,
# Station Description:,North Sea SST,,,,,,,,,,
# Region Code:,NWES,,,,,,,,,,
# Latitude:,55.99 N,,,,,,,,,,
# Longitude:,3.201 E,,,,,,,,,,
# Detailed Location (WKT):,"POLYGON((-3.95 51.17, 10.36 51.17, 10.36 60.81, -3.95 60.81, -3.95 51.17))",,,,,,,,,,
# Measurement Depth/Range:,Surface,,,,,,,,,,
# Sampling Frequency:,,,,,,,,,,,
# Data Source:,BSH - German Federal Maritime and Hydrographic Agency,,,,,,,,,,
# Contact Name (email):,Dagmar Kieke (dagmar.kieke@bsh.de),,,,,,,,,,
# Notes:,,,,,,,,,,,
# Reference:,"Loewe",,,,,,,,,,
# DOI:,,,,,,,,,,,
# Website:,https://www.bsh.de/EN/DATA/Climate-and-Sea/Sea_temperatures/Sea_surface_temperatures/sea_surface_temperatures_node.html,,,,,,,,,,
Decimal Year,Temperature °C,,,,,,,,,,
1987.79167,11.77,,,,,,,,,,
1987.87500,10.04,,,,,,,,,,
1987.95833,8.17,,,,,,,,,,
1988.04167,7.68,,,,,,,,,,
1988.12500,6.57,,,,,,,,,,
1988.20833,5.97,,,,,,,,,,
1988.29167,6.88,,,,,,,,,,
1988.37500,9.75,,,,,,,,,,
1988.45833,12.64,,,,,,,,,,
1988.54167,14.44,,,,,,,,,,
1988.62500,14.83,,,,,,,,,,
1988.70833,14.01,,,,,,,,,,
1988.79167,11.87,,,,,,,,,,
1988.87500,9.68,,,,,,,,,,
1988.95833,8.14,,,,,,,,,,
1989.04167,7.66,,,,,,,,,,
1989.12500,7.32,,,,,,,,,,
1989.20833,7.03,,,,,,,,,,
1989.29167,7.57,,,,,,,,,,
1989.37500,9.99,,,,,,,,,,
1989.45833,13.34,,,,,,,,,,
1989.54167,14.31,,,,,,,,,,
1989.62500,14.78,,,,,,,,,,
1989.70833,14.11,,,,,,,,,,
1989.79167,12.52,,,,,,,,,,
1989.87500,10.72,,,,,,,,,,
1989.95833,8.81,,,,,,,,,,
1990.04167,7.87,,,,,,,,,,
1990.12500,7.43,,,,,,,,,,
1990.20833,7.43,,,,,,,,,,
1990.29167,8.20,,,,,,,,,,
1990.37500,10.88,,,,,,,,,,
1990.45833,12.55,,,,,,,,,,
1990.54167,14.22,,,,,,,,,,
1990.62500,15.60,,,,,,,,,,
1990.70833,14.03,,,,,,,,,,
1990.79167,11.96,,,,,,,,,,
1990.87500,10.23,,,,,,,,,,
1990.95833,8.15,,,,,,,,,,
1991.04167,6.86,,,,,,,,,,
1991.12500,5.40,,,,,,,,,,
1991.20833,5.91,,,,,,,,,,
1991.29167,7.17,,,,,,,,,,
1991.37500,8.79,,,,,,,,,,
1991.45833,11.22,,,,,,,,,,
1991.54167,14.87,,,,,,,,,,
1991.62500,16.02,,,,,,,,,,
1991.70833,14.46,,,,,,,,,,
1991.79167,12.06,,,,,,,,,,
1991.87500,9.53,,,,,,,,,,
1991.95833,7.99,,,,,,,,,,
1992.04167,7.03,,,,,,,,,,
1992.12500,6.69,,,,,,,,,,
1992.20833,6.61,,,,,,,,,,
1992.29167,7.01,,,,,,,,,,
1992.37500,10.19,,,,,,,,,,
1992.45833,14.21,,,,,,,,,,
1992.54167,15.08,,,,,,,,,,
1992.62500,15.10,,,,,,,,,,
1992.70833,13.55,,,,,,,,,,
1992.79167,11.57,,,,,,,,,,
1992.87500,9.08,,,,,,,,,,
1992.95833,7.67,,,,,,,,,,
1993.04167,6.51,,,,,,,,,,
1993.12500,6.08,,,,,,,,,,
1993.20833,5.91,,,,,,,,,,
1993.29167,6.78,,,,,,,,,,
1993.37500,9.48,,,,,,,,,,
1993.45833,12.13,,,,,,,,,,
1993.54167,13.52,,,,,,,,,,
1993.62500,14.13,,,,,,,,,,
1993.70833,13.24,,,,,,,,,,
1993.79167,11.13,,,,,,,,,,
1993.87500,8.83,,,,,,,,,,
1993.95833,7.24,,,,,,,,,,
1994.04167,6.31,,,,,,,,,,
1994.12500,5.33,,,,,,,,,,
1994.20833,5.35,,,,,,,,,,
1994.29167,6.59,,,,,,,,,,
1994.37500,9.25,,,,,,,,,,
1994.45833,11.28,,,,,,,,,,
1994.54167,15.48,,,,,,,,,,
1994.62500,16.10,,,,,,,,,,
1994.70833,14.37,,,,,,,,,,
1994.79167,11.74,,,,,,,,,,
1994.87500,10.05,,,,,,,,,,
1994.95833,8.97,,,,,,,,,,
1995.04167,7.12,,,,,,,,,,
1995.12500,6.61,,,,,,,,,,
1995.20833,6.30,,,,,,,,,,
1995.29167,6.82,,,,,,,,,,
1995.37500,9.00,,,,,,,,,,
1995.45833,11.58,,,,,,,,,,
1995.54167,14.79,,,,,,,,,,
1995.62500,17.10,,,,,,,,,,
1995.70833,14.98,,,,,,,,,,
1995.79167,12.78,,,,,,,,,,
1995.87500,10.67,,,,,,,,,,
1995.95833,8.26,,,,,,,,,,
1996.04167,6.20,,,,,,,,,,
1996.12500,4.76,,,,,,,,,,
1996.20833,4.42,,,,,,,,,,
1996.29167,5.64,,,,,,,,,,
1996.37500,7.38,,,,,,,,,,
1996.45833,10.59,,,,,,,,,,
1996.54167,13.27,,,,,,,,,,
1996.62500,15.50,,,,,,,,,,
1996.70833,14.39,,,,,,,,,,
1996.79167,12.41,,,,,,,,,,
1996.87500,10.05,,,,,,,,,,
1996.95833,7.46,,,,,,,,,,
1997.04167,5.68,,,,,,,,,,
1997.12500,5.83,,,,,,,,,,
1997.20833,6.38,,,,,,,,,,
1997.29167,7.11,,,,,,,,,,
1997.37500,9.02,,,,,,,,,,
1997.45833,12.36,,,,,,,,,,
1997.54167,15.52,,,,,,,,,,
1997.62500,17.65,,,,,,,,,,
1997.70833,14.91,,,,,,,,,,
1997.79167,12.67,,,,,,,,,,
1997.87500,10.48,,,,,,,,,,
1997.95833,8.57,,,,,,,,,,
1998.04167,7.57,,,,,,,,,,
1998.12500,7.03,,,,,,,,,,
1998.20833,7.00,,,,,,,,,,
1998.29167,7.50,,,,,,,,,,
1998.37500,9.95,,,,,,,,,,
1998.45833,12.34,,,,,,,,,,
1998.54167,13.78,,,,,,,,,,
1998.62500,14.72,,,,,,,,,,
1998.70833,14.15,,,,,,,,,,
1998.79167,12.02,,,,,,,,,,
1998.87500,9.32,,,,,,,,,,
1998.95833,7.82,,,,,,,,,,
1999.04167,7.06,,,,,,,,,,
1999.12500,6.18,,,,,,,,,,
1999.20833,6.23,,,,,,,,,,
1999.29167,7.24,,,,,,,,,,
1999.37500,9.59,,,,,,,,,,
1999.45833,12.34,,,,,,,,,,
1999.54167,15.52,,,,,,,,,,
1999.62500,16.11,,,,,,,,,,
1999.70833,15.75,,,,,,,,,,
1999.79167,13.04,,,,,,,,,,
1999.87500,10.71,,,,,,,,,,
1999.95833,8.56,,,,,,,,,,
2000.04167,7.19,,,,,,,,,,
2000.12500,6.71,,,,,,,,,,
2000.20833,6.52,,,,,,,,,,
2000.29167,7.18,,,,,,,,,,
2000.37500,10.32,,,,,,,,,,
2000.45833,11.70,,,,,,,,,,
2000.54167,13.39,,,,,,,,,,
2000.62500,15.35,,,,,,,,,,
2000.70833,14.56,,,,,,,,,,
2000.79167,12.70,,,,,,,,,,
2000.87500,10.35,,,,,,,,,,
2000.95833,8.81,,,,,,,,,,
2001.04167,7.14,,,,,,,,,,
2001.12500,6.22,,,,,,,,,,
2001.20833,5.80,,,,,,,,,,
2001.29167,6.63,,,,,,,,,,
2001.37500,9.30,,,,,,,,,,
2001.45833,11.68,,,,,,,,,,
2001.54167,15.26,,,,,,,,,,
2001.62500,15.87,,,,,,,,,,
2001.70833,14.51,,,,,,,,,,
2001.79167,13.16,,,,,,,,,,
2001.87500,11.00,,,,,,,,,,
2001.95833,8.65,,,,,,,,,,
2002.04167,7.04,,,,,,,,,,
2002.12500,7.17,,,,,,,,,,
2002.20833,6.92,,,,,,,,,,
2002.29167,7.81,,,,,,,,,,
2002.37500,9.68,,,,,,,,,,
2002.45833,12.90,,,,,,,,,,
2002.54167,15.03,,,,,,,,,,
2002.62500,17.41,,,,,,,,,,
2002.70833,16.23,,,,,,,,,,
2002.79167,13.07,,,,,,,,,,
2002.87500,10.08,,,,,,,,,,
2002.95833,7.94,,,,,,,,,,
2003.04167,6.81,,,,,,,,,,
2003.12500,6.11,,,,,,,,,,
2003.20833,6.20,,,,,,,,,,
2003.29167,7.39,,,,,,,,,,
2003.37500,9.94,,,,,,,,,,
2003.45833,13.71,,,,,,,,,,
2003.54167,16.03,,,,,,,,,,
2003.62500,17.49,,,,,,,,,,
2003.70833,15.82,,,,,,,,,,
2003.79167,12.92,,,,,,,,,,
2003.87500,10.52,,,,,,,,,,
2003.95833,9.09,,,,,,,,,,
2004.04167,7.36,,,,,,,,,,
2004.12500,6.64,,,,,,,,,,
2004.20833,6.37,,,,,,,,,,
2004.29167,7.43,,,,,,,,,,
2004.37500,9.67,,,,,,,,,,
2004.45833,12.52,,,,,,,,,,
2004.54167,14.57,,,,,,,,,,
2004.62500,17.09,,,,,,,,,,
2004.70833,15.19,,,,,,,,,,
2004.79167,12.40,,,,,,,,,,
2004.87500,10.52,,,,,,,,,,
2004.95833,9.00,,,,,,,,,,
2005.04167,7.73,,,,,,,,,,
2005.12500,6.53,,,,,,,,,,
2005.20833,5.68,,,,,,,,,,
2005.29167,7.12,,,,,,,,,,
2005.37500,9.11,,,,,,,,,,
2005.45833,11.70,,,,,,,,,,
2005.54167,14.81,,,,,,,,,,
2005.62500,14.93,,,,,,,,,,
2005.70833,14.88,,,,,,,,,,
2005.79167,13.28,,,,,,,,,,
2005.87500,11.52,,,,,,,,,,
2005.95833,8.97,,,,,,,,,,
2006.04167,7.22,,,,,,,,,,
2006.12500,6.54,,,,,,,,,,
2006.20833,5.59,,,,,,,,,,
2006.29167,6.60,,,,,,,,,,
2006.37500,9.34,,,,,,,,,,
2006.45833,11.87,,,,,,,,,,
2006.54167,16.00,,,,,,,,,,
2006.62500,17.27,,,,,,,,,,
2006.70833,15.91,,,,,,,,,,
2006.79167,14.25,,,,,,,,,,
2006.87500,11.40,,,,,,,,,,
2006.95833,9.50,,,,,,,,,,
2007.04167,8.27,,,,,,,,,,
2007.12500,7.17,,,,,,,,,,
2007.20833,7.15,,,,,,,,,,
2007.29167,8.41,,,,,,,,,,
2007.37500,10.17,,,,,,,,,,
2007.45833,13.25,,,,,,,,,,
2007.54167,14.88,,,,,,,,,,
2007.62500,15.49,,,,,,,,,,
2007.70833,14.21,,,,,,,,,,
2007.79167,12.67,,,,,,,,,,
2007.87500,10.66,,,,,,,,,,
2007.95833,8.53,,,,,,,,,,
2008.04167,7.42,,,,,,,,,,
2008.12500,6.93,,,,,,,,,,
2008.20833,6.71,,,,,,,,,,
2008.29167,7.26,,,,,,,,,,
2008.37500,10.82,,,,,,,,,,
2008.45833,13.21,,,,,,,,,,
2008.54167,14.90,,,,,,,,,,
2008.62500,16.18,,,,,,,,,,
2008.70833,14.99,,,,,,,,,,
2008.79167,12.64,,,,,,,,,,
2008.87500,10.01,,,,,,,,,,
2008.95833,7.98,,,,,,,,,,
2009.04167,6.57,,,,,,,,,,
2009.12500,5.56,,,,,,,,,,
2009.20833,6.07,,,,,,,,,,
2009.29167,7.54,,,,,,,,,,
2009.37500,9.85,,,,,,,,,,
2009.45833,12.81,,,,,,,,,,
2009.54167,15.33,,,,,,,,,,
2009.62500,16.03,,,,,,,,,,
2009.70833,14.98,,,,,,,,,,
2009.79167,12.60,,,,,,,,,,
2009.87500,10.84,,,,,,,,,,
2009.95833,8.96,,,,,,,,,,
2010.04167,6.29,,,,,,,,,,
2010.12500,5.07,,,,,,,,,,
2010.20833,5.25,,,,,,,,,,
2010.29167,6.72,,,,,,,,,,
2010.37500,8.99,,,,,,,,,,
2010.45833,12.22,,,,,,,,,,
2010.54167,15.02,,,,,,,,,,
2010.62500,15.94,,,,,,,,,,
2010.70833,14.51,,,,,,,,,,
2010.79167,12.41,,,,,,,,,,
2010.87500,9.92,,,,,,,,,,
2010.95833,7.00,,,,,,,,,,
2011.04167,5.68,,,,,,,,,,
2011.12500,5.66,,,,,,,,,,
2011.20833,5.59,,,,,,,,,,
2011.29167,7.59,,,,,,,,,,
2011.37500,10.29,,,,,,,,,,
2011.45833,12.58,,,,,,,,,,
2011.54167,14.78,,,,,,,,,,
2011.62500,15.36,,,,,,,,,,
2011.70833,14.44,,,,,,,,,,
2011.79167,12.79,,,,,,,,,,
2011.87500,11.05,,,,,,,,,,
2011.95833,8.77,,,,,,,,,,
2012.04167,7.44,,,,,,,,,,
2012.12500,6.14,,,,,,,,,,
2012.20833,6.63,,,,,,,,,,
2012.29167,7.41,,,,,,,,,,
2012.37500,9.31,,,,,,,,,,
2012.45833,11.97,,,,,,,,,,
2012.54167,14.44,,,,,,,,,,
2012.62500,16.14,,,,,,,,,,
2012.70833,14.48,,,,,,,,,,
2012.79167,12.18,,,,,,,,,,
2012.87500,10.17,,,,,,,,,,
2012.95833,7.97,,,,,,,,,,
2013.04167,6.54,,,,,,,,,,
2013.12500,5.56,,,,,,,,,,
2013.20833,4.75,,,,,,,,,,
2013.29167,5.62,,,,,,,,,,
2013.37500,8.02,,,,,,,,,,
2013.45833,11.59,,,,,,,,,,
2013.54167,14.91,,,,,,,,,,
2013.62500,16.18,,,,,,,,,,
2013.70833,14.83,,,,,,,,,,
2013.79167,12.90,,,,,,,,,,
2013.87500,10.50,,,,,,,,,,
2013.95833,8.44,,,,,,,,,,
2014.04167,7.56,,,,,,,,,,
2014.12500,6.63,,,,,,,,,,
2014.20833,6.98,,,,,,,,,,
2014.29167,8.13,,,,,,,,,,
2014.37500,10.60,,,,,,,,,,
2014.45833,14.06,,,,,,,,,,
2014.54167,16.40,,,,,,,,,,
2014.62500,16.54,,,,,,,,,,
2014.70833,15.42,,,,,,,,,,
2014.79167,13.84,,,,,,,,,,
2014.87500,11.82,,,,,,,,,,
2014.95833,9.28,,,,,,,,,,
2015.04167,7.51,,,,,,,,,,
2015.12500,6.43,,,,,,,,,,
2015.20833,6.57,,,,,,,,,,
2015.29167,7.38,,,,,,,,,,
2015.37500,9.20,,,,,,,,,,
2015.45833,11.67,,,,,,,,,,
2015.54167,14.11,,,,,,,,,,
2015.62500,15.41,,,,,,,,,,
2015.70833,14.76,,,,,,,,,,
2015.79167,13.17,,,,,,,,,,
2015.87500,11.28,,,,,,,,,,
2015.95833,9.54,,,,,,,,,,
2016.04167,7.81,,,,,,,,,,
2016.12500,6.83,,,,,,,,,,
2016.20833,6.49,,,,,,,,,,
2016.29167,7.54,,,,,,,,,,
2016.37500,9.90,,,,,,,,,,
2016.45833,12.87,,,,,,,,,,
2016.54167,15.28,,,,,,,,,,
2016.62500,15.86,,,,,,,,,,
2016.70833,16.25,,,,,,,,,,
2016.79167,13.58,,,,,,,,,,
2016.87500,10.59,,,,,,,,,,
2016.95833,8.92,,,,,,,,,,
2017.04167,7.53,,,,,,,,,,
2017.12500,6.53,,,,,,,,,,
2017.20833,6.64,,,,,,,,,,
2017.29167,7.71,,,,,,,,,,
2017.37500,9.88,,,,,,,,,,
2017.45833,12.91,,,,,,,,,,
2017.54167,14.99,,,,,,,,,,
2017.62500,16.05,,,,,,,,,,
2017.70833,15.31,,,,,,,,,,
2017.79167,13.14,,,,,,,,,,
2017.87500,10.95,,,,,,,,,,
2017.95833,8.38,,,,,,,,,,
2018.04167,6.98,,,,,,,,,,
2018.12500,6.07,,,,,,,,,,
2018.20833,4.84,,,,,,,,,,
2018.29167,6.34,,,,,,,,,,
2018.37500,9.93,,,,,,,,,,
2018.45833,13.54,,,,,,,,,,
2018.54167,16.25,,,,,,,,,,
2018.62500,17.04,,,,,,,,,,
2018.70833,14.98,,,,,,,,,,
2018.79167,12.59,,,,,,,,,,
2018.87500,10.78,,,,,,,,,,
2018.95833,8.84,,,,,,,,,,
2019.04167,7.58,,,,,,,,,,
2019.12500,6.69,,,,,,,,,,
2019.20833,6.99,,,,,,,,,,
2019.29167,7.91,,,,,,,,,,
2019.37500,9.64,,,,,,,,,,
2019.45833,12.60,,,,,,,,,,
2019.54167,14.97,,,,,,,,,,
2019.62500,16.65,,,,,,,,,,
2019.70833,14.81,,,,,,,,,,
2019.79167,12.98,,,,,,,,,,
2019.87500,10.44,,,,,,,,,,
2019.95833,8.69,,,,,,,,,,
2020.04167,7.89,,,,,,,,,,
2020.12500,7.16,,,,,,,,,,
2020.20833,6.90,,,,,,,,,,
2020.29167,7.63,,,,,,,,,,
2020.37500,9.80,,,,,,,,,,
2020.45833,13.43,,,,,,,,,,
2020.54167,14.63,,,,,,,,,,
2020.62500,16.18,,,,,,,,,,
2020.70833,14.85,,,,,,,,,,
2020.79167,12.90,,,,,,,,,,
2020.87500,10.93,,,,,,,,,,
2020.95833,9.23,,,,,,,,,,
2021.04167,7.34,,,,,,,,,,
2021.12500,5.65,,,,,,,,,,
2021.20833,5.94,,,,,,,,,,
2021.29167,6.81,,,,,,,,,,
2021.37500,8.81,,,,,,,,,,
2021.45833,13.19,,,,,,,,,,
2021.54167,15.91,,,,,,,,,,
2021.62500,16.34,,,,,,,,,,
2021.70833,15.68,,,,,,,,,,
2021.79167,13.15,,,,,,,,,,
2021.87500,10.96,,,,,,,,,,
2021.95833,8.25,,,,,,,,,,
2022.04167,7.53,,,,,,,,,,
2022.12500,6.87,,,,,,,,,,
2022.20833,6.72,,,,,,,,,,
2022.29167,7.52,,,,,,,,,,
2022.37500,10.38,,,,,,,,,,
2022.45833,13.06,,,,,,,,,,
2022.54167,15.39,,,,,,,,,,
2022.62500,17.07,,,,,,,,,,
2022.70833,16.01,,,,,,,,,,
2022.79167,13.40,,,,,,,,,,
2022.87500,11.79,,,,,,,,,,
2022.95833,9.06,,,,,,,,,,
2023.04167,7.81,,,,,,,,,,
2023.12500,7.11,,,,,,,,,,
2023.20833,6.70,,,,,,,,,,
2023.29167,7.65,,,,,,,,,,
