# Index:,NWES_001,
# Station Description:,Point 33 - Astan,
# Region Code:,NWES,
# Latitude:,48.78 N,
# Longitude:,3.94 W,
# Detailed Location (WKT):,,
# Measurement Depth/Range:,2 m,
# Sampling Frequency:,Every two weeks,
# Data Source:,CNRS - Observatoire Oceanologique de Roscoff - France,
# Contact Name (email):,Pascal Morin (pmorin@sb-roscoff.fr),
# Notes:,,
# Reference:,,
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
2004.48,14.3,
2004.529,15,35.114
2004.57,15.35,35.191
2004.608,15.8,35.205
2004.649,15.4,35.393
2004.687,16.8,35.39
2004.728,15.8,35.439
2004.766,15.1,35.435
2004.802,14.4,35.372
2004.843,13.75,35.35
2004.881,13.2,35.32
2004.933,12.5,35.277
2004.969,11.95,35.29
2005.012,11.1,35.262
2005.051,11.05,35.286
2005.092,10.25,35.221
2005.13,9.75,35.275
2005.171,9.1,35.302
2005.21,9.2,35.325
2005.256,10.4,35.375
2005.295,11,35.366
2005.333,11.45,35.325
2005.374,12,35.296
2005.41,12.7,35.284
2005.453,13.75,35.293
2005.495,14.4,35.303
2005.544,15.1,35.327
2005.574,15.2,35.314
2005.623,16.5,35.359
2005.659,15.95,35.375
2005.7,15.4,35.33
2005.736,15.05,35.328
2005.777,14.6,35.345
2005.815,14.4,35.348
2005.856,14,35.333
2005.897,13.2,35.371
2005.938,12.05,35.379
2005.974,11.4,35.347
2006.023,,
2006.064,,
2006.1,9.93,35.373
2006.147,8.6,35.02
2006.182,8.7,35.308
2006.223,8.3,35.228
2006.262,9.4,35.154
2006.3,9.8,35.029
2006.341,10.5,35.007
2006.374,11.3,35.018
2006.432,12.8,35.139
2006.467,11.3,35.2
2006.508,14.2,35.257
2006.547,14.75,35.315
2006.588,15.1,35.507
2006.626,15.2,35.414
2006.667,,35.637
2006.705,15.2,35.455
2006.752,15.1,35.406
2006.79,15.5,35.399
2006.832,15.5,35.353
2006.867,15.2,35.373
2006.908,14.4,35.262
2006.949,13.5,35.243
2007.032,12.4,35.335
2007.078,11.4,35.294
2007.119,11.05,35.295
2007.155,11.15,35.33
2007.196,11.3,35.318
2007.234,11,35.29
2007.275,11.35,35.318
2007.314,,35.352
2007.355,12.9,35.338
2007.393,13.5,35.337
2007.432,13.6,35.315
2007.481,14.6,35.309
2007.522,15.15,35.337
2007.56,15.85,35.322
2007.601,,35.38
2007.642,16.7,35.276
2007.681,16.2,35.336
2007.719,16.5,35.408
2007.758,15.6,35.35
2007.799,14.6,35.422
2007.845,13.85,35.387
2007.884,12.95,35.389
2007.927,12.4,35.359
2007.963,10.85,35.39
2008.008,10.45,35.423
2008.047,10.4,35.379
2008.088,,35.373
2008.126,10.1,35.354
2008.164,10.15,35.256
2008.211,10.25,34.97
2008.252,10.45,35.01
2008.288,10.6,35.121
2008.329,11.23,35.191
2008.367,12.2,35.239
2008.405,13,35.179
2008.449,13.9,34.994
2008.49,14.8,35.029
2008.529,14.75,35.085
2008.575,15.45,35.259
2008.614,15.4,35.196
2008.655,15.7,35.192
2008.693,15.7,35.254
2008.732,15.5,35.216
2008.775,15.2,35.254
2008.811,14.5,35.274
2008.852,13.55,35.21
2008.89,,35.236
2008.94,11.65,35.195
2008.978,11.25,35.212
2009.022,9.25,35.227
2009.058,9.5,35.297
2009.101,8.85,35.104
2009.137,8.9,35.011
2009.181,9.1,34.876
2009.219,9.8,34.889
2009.258,9.9,34.964
2009.293,10.4,34.987
2009.342,11.4,35.066
2009.381,11.3,35.125
2009.422,13.05,35.208
2009.46,13.65,35.257
2009.501,14.75,35.313
2009.542,15,35.334
2009.584,15.88,35.577
2009.622,15.85,35.328
2009.66,15.9,35.339
2009.707,16.05,35.393
2009.745,16.87,35.231
2009.784,15.9,35.307
2009.825,15,35.317
2009.863,13.3,35.32
2009.907,12.65,35.202
2009.945,12.1,35.193
2009.981,10.8,35.195
2010.033,9.05,35.16
2010.071,9.35,35.159
2010.11,9.1,35.142
2010.14,8.6,35.1
2010.189,8.1,34.907
2010.23,9,34.965
2010.268,9.55,34.942
2010.31,10.15,34.894
2010.348,10.75,35.051
2010.389,,35.01
2010.436,12.9,35.085
2010.474,13.6,35.169
2010.515,14.75,35.216
2010.553,15,35.283
2010.597,16.1,35.488
2010.636,16.12,35.421
2010.677,15.92,35.359
2010.712,15.32,35.466
2010.753,14.7,35.366
2010.792,14.46,35.374
2010.83,13.8,35.38
2010.877,13.21,35.283
2010.915,11.95,35.251
2010.959,10.48,35.148
2011.038,9.9,35.272
2011.079,9.4,35.231
2011.118,9.48,35.258
2011.156,9.88,35.162
2011.203,9.54,35.051
2011.241,10.08,35.05
2011.282,10.85,35.062
2011.321,11.68,35.083
2011.362,12.47,35.143
2011.4,13.48,35.207
2011.441,13.75,35.253
2011.482,14.15,35.273
2011.529,14.82,35.323
2011.567,15.05,35.372
2011.605,15.23,35.389
2011.647,15.37,35.412
2011.682,15.15,35.47
2011.726,14.75,35.492
2011.762,15.09,35.474
2011.805,14.7,35.476
2011.841,14.33,35.432
2011.885,13.8,35.416
2011.932,13.3,35.439
2011.97,12.5,35.501
2012.014,12.05,35.466
2012.052,12.05,35.471
2012.09,10.7,
2012.132,10.08,35.463
2012.181,10.1,35.381
2012.211,10.45,35.375
2012.258,10.4,35.37
2012.296,11.25,35.005
2012.334,11.48,35.287
2012.373,11.79,35.246
2012.414,12.69,35.24
2012.455,13.68,35.281
2012.496,14.09,35.32
2012.534,15.08,35.28
2012.575,15.35,35.544
2012.614,15.52,35.352
2012.66,16.08,35.33
2012.699,16.28,35.363
2012.74,15.75,35.321
2012.778,15.55,35.306
2012.814,14.55,35.363
2012.858,13.1,35.334
2012.899,12.85,35.356
2012.937,11.7,35.332
2012.978,11.35,35.264
2013.063,10.3,35.248
2013.101,10.47,35.178
2013.142,10.12,35.078
2013.184,9.4,35.128
2013.225,9.3,35.107
2013.26,9.15,35.034
2013.304,10,34.804
2013.342,10.57,34.816
2013.378,11.25,34.93
2013.427,12.1,34.972
2013.466,12.72,35.017
2013.507,13.4,35.182
2013.548,14.38,35.225
2013.586,15,35.34
2013.625,15.68,35.413
2013.666,16.05,35.44
2013.707,15.87,35.436
2013.742,15.75,35.442
2013.792,14.75,35.442
2013.836,14.35,35.437
2013.871,14.12,35.356
2013.91,12.88,35.404
2013.951,12.52,35.422
2013.984,12.15,35.355
2014.033,11.32,35.234
2014.071,10.82,35.133
2014.118,10.1,34.887
2014.156,10.3,34.904
2014.195,10.45,34.924
2014.236,10.38,34.921
2014.274,11.01,34.918
2014.315,11.5,34.936
2014.353,12.25,34.891
2014.395,13,34.881
2014.433,13.5,34.956
2014.474,14.38,35.128
2014.521,14.95,35.253
2014.559,15.75,35.294
2014.6,15.75,35.316
2014.638,15.5,35.372
2014.682,15.7,35.377
2014.721,15.9,35.378
2014.759,15.35,35.4
2014.797,15.25,35.372
2014.838,15.28,35.376
2014.877,14.45,35.34
2014.923,13.85,35.165
2014.962,12.98,35.105
2015.044,12.2,35.086
2015.082,11.6,35.122
2015.123,10.15,35.084
2015.164,10.18,35.152
2015.203,10.15,35.167
2015.241,10.05,35.167
2015.288,10.85,35.239
2015.326,11.6,35.272
2015.367,12.35,35.255
2015.405,13.07,35.235
2015.444,13.3,35.265
2015.485,14.25,35.275
2015.529,14.8,35.321
2015.567,15.28,35.295
2015.614,15.6,35.33
2015.652,15.8,35.275
2015.69,15.55,35.267
2015.729,14.88,35.271
2015.77,14.7,35.295
2015.811,14.2,35.347
2015.849,14.3,35.348
2015.893,14.12,35.332
2015.932,13.55,35.36
2015.967,13.3,35.375
2016.01,12.45,35.313
2016.05,11.4,35.232
2016.09,11.4,35.134
2016.13,10.85,35.073
2016.17,10.45,35.095
2016.21,10.35,35.096
2016.25,10.35,35.113
2016.29,10.8,35.143
2016.33,11.1,35.197
2016.37,11.9,35.179
2016.41,12.95,35.168
2016.45,13.75,35.158
2016.49,14.4,35.17
2016.53,15.05,35.191
2016.57,15.4,35.225
2016.61,15.56,35.261
2016.65,15.75,35.293
2016.69,15.8,35.338
2016.73,15.58,35.342
2016.78,14.95,35.378
2016.81,14.35,35.372
2016.86,13.75,35.4
2016.89,13.1,35.374
2016.93,12.22,35.423
2016.98,12.05,35.44
