# Index:,NWES_010,,
# Station Description:,Modelled North Sea Inflow,,
# Region Code:,NWES,,
# Latitude:,59 N,,
# Longitude:,1 E,,
# Detailed Location (WKT):,,,
# Measurement Depth/Range:,Depth Averaged,,
# Sampling Frequency:,Monthly Mean Modelled Output,,
# Data Source:,IMR - Institute of Marine Research - Norway,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,
# Notes:,"Modelled Volume Transport between Orkney - Scotland and Utsira - Norway (-Inflow is flow in a southwards direction. +Outflow is flow in a northward direction. +NetFlow is flow in a northward direction) Units Svedrup 10^6m^3/s",,
# Reference:,,,
# DOI:,,,
# Website:,,,
Decimal Year,Inflow (Sv),Outflow (Sv),Net Flow (Sv)
1994.3750,-0.666,0.946,0.280
1994.4583,-0.861,1.606,0.745
1994.5417,-0.838,1.363,0.525
1994.6250,-0.812,1.240,0.429
1994.7083,-1.028,1.232,0.204
1994.7917,-0.745,1.243,0.498
1994.8750,-0.705,1.653,0.948
1994.9583,-1.001,2.045,1.044
1995.0417,-0.711,1.621,0.911
1995.1250,-0.933,1.785,0.851
1995.2083,-0.806,1.578,0.772
1995.2917,-0.741,1.033,0.292
1995.3750,-0.574,1.036,0.462
1995.4583,-0.787,0.963,0.176
1995.5417,-0.730,1.294,0.565
1995.6250,-0.931,1.314,0.383
1995.7083,-0.884,1.222,0.338
1995.7917,-1.040,2.070,1.030
1995.8750,-0.778,1.134,0.356
1995.9583,-0.626,0.882,0.255
1996.0417,-0.624,1.443,0.819
1996.1250,-0.564,1.035,0.471
1996.2083,-0.634,0.961,0.326
1996.2917,-0.636,1.213,0.577
1996.3750,-0.704,0.886,0.183
1996.4583,-0.855,1.401,0.546
1996.5417,-0.839,1.274,0.436
1996.6250,-0.757,1.267,0.510
1996.7083,-0.902,1.211,0.309
1996.7917,-0.927,1.724,0.797
1996.8750,-0.896,1.251,0.355
1996.9583,-0.650,1.074,0.424
1997.0417,-0.635,1.153,0.518
1997.1250,-0.970,2.366,1.396
1997.2083,-0.759,1.684,0.925
1997.2917,-0.960,1.334,0.374
1997.3750,-0.608,0.847,0.239
1997.4583,-0.703,0.826,0.123
1997.5417,-0.692,1.043,0.351
1997.6250,-0.812,1.309,0.496
1997.7083,-1.016,1.687,0.670
1997.7917,-1.000,1.458,0.458
1997.8750,-0.596,1.380,0.784
1997.9583,-0.578,1.152,0.574
1998.0417,-0.724,1.484,0.760
1998.1250,-0.881,1.775,0.894
1998.2083,-0.660,1.289,0.629
1998.2917,-0.691,0.767,0.075
1998.3750,-0.584,0.877,0.293
1998.4583,-0.642,0.943,0.301
1998.5417,-0.740,1.066,0.326
1998.6250,-0.806,1.378,0.571
1998.7083,-0.722,1.191,0.469
1998.7917,-0.878,1.457,0.579
1998.8750,-0.728,1.541,0.813
1998.9583,-0.978,1.906,0.928
1999.0417,-0.719,1.863,1.145
1999.1250,-1.034,1.559,0.524
1999.2083,-0.519,1.206,0.687
1999.2917,-0.523,0.934,0.411
1999.3750,-0.743,1.314,0.571
1999.4583,-0.711,1.039,0.328
1999.5417,-0.762,1.248,0.486
1999.6250,-0.822,1.039,0.217
1999.7083,-0.944,1.514,0.570
1999.7917,-0.834,1.479,0.645
1999.8750,-1.090,1.760,0.670
1999.9583,-0.860,1.559,0.700
2000.0417,-1.041,1.943,0.903
2000.1250,-0.872,2.091,1.219
2000.2083,-0.914,1.409,0.495
2000.2917,-0.592,0.820,0.228
2000.3750,-0.737,1.039,0.302
2000.4583,-0.801,1.310,0.509
2000.5417,-0.853,0.991,0.138
2000.6250,-0.810,1.240,0.429
2000.7083,-0.825,1.422,0.597
2000.7917,-0.739,1.472,0.733
2000.8750,-0.963,1.392,0.429
2000.9583,-0.718,1.302,0.584
2001.0417,-0.472,1.206,0.734
2001.1250,-0.708,1.094,0.386
2001.2083,-0.346,0.842,0.497
2001.2917,-0.637,1.084,0.448
2001.3750,-0.694,1.090,0.396
2001.4583,-0.741,1.115,0.375
2001.5417,-0.769,1.176,0.408
2001.6250,-0.847,1.388,0.541
2001.7083,-0.941,1.189,0.248
2001.7917,-0.889,1.798,0.909
2001.8750,-1.193,1.744,0.551
2001.9583,-0.928,1.157,0.229
2002.0417,-0.755,1.657,0.901
2002.1250,-0.967,1.790,0.823
2002.2083,-0.680,1.420,0.740
2002.2917,-0.699,1.274,0.575
2002.3750,-0.655,1.223,0.568
2002.4583,-0.711,1.268,0.557
2002.5417,-0.836,1.268,0.432
2002.6250,-0.779,1.132,0.354
2002.7083,-0.996,1.341,0.345
2002.7917,-0.813,1.087,0.274
2002.8750,-0.681,1.336,0.656
2002.9583,-0.731,1.282,0.551
2003.0417,-0.943,1.505,0.561
2003.1250,-0.699,1.400,0.701
2003.2083,-0.586,1.190,0.604
2003.2917,-0.629,0.963,0.334
2003.3750,-0.560,1.129,0.569
2003.4583,-0.678,1.234,0.555
2003.5417,-0.709,1.231,0.522
2003.6250,-0.969,1.334,0.364
2003.7083,-1.017,1.579,0.563
2003.7917,-0.980,1.251,0.272
2003.8750,-0.602,1.521,0.919
2003.9583,-0.874,1.303,0.429
2004.0417,-0.694,1.278,0.584
2004.1250,-0.860,1.242,0.381
2004.2083,-0.533,1.230,0.697
2004.2917,-0.641,1.209,0.569
2004.3750,-0.790,1.144,0.354
2004.4583,-0.717,1.124,0.408
2004.5417,-0.778,1.234,0.456
2004.6250,-0.781,1.061,0.280
2004.7083,-1.053,1.718,0.666
2004.7917,-0.841,1.349,0.508
2004.8750,-0.921,1.394,0.473
2004.9583,-1.066,1.988,0.922
2005.0417,-1.228,2.248,1.020
2005.1250,-0.679,1.057,0.378
2005.2083,-0.476,0.835,0.360
2005.2917,-0.665,1.131,0.466
2005.3750,-0.728,1.016,0.288
2005.4583,-0.697,1.111,0.414
2005.5417,-0.866,1.236,0.370
2005.6250,-0.929,1.499,0.570
2005.7083,-1.065,1.765,0.701
2005.7917,-0.965,1.632,0.667
2005.8750,-1.162,1.613,0.451
2005.9583,-0.566,1.083,0.516
2006.0417,-0.713,1.657,0.945
2006.1250,-0.697,0.855,0.158
2006.2083,-0.575,0.929,0.354
2006.2917,-0.514,1.107,0.593
2006.3750,-0.612,1.058,0.446
2006.4583,-0.671,1.193,0.522
2006.5417,-0.777,1.282,0.505
2006.6250,-0.882,1.211,0.329
2006.7083,-0.910,1.553,0.643
2006.7917,-0.917,1.298,0.381
2006.8750,-0.959,2.137,1.178
2006.9583,-1.040,2.184,1.144
2007.0417,-0.960,1.931,0.971
2007.1250,-0.641,1.269,0.628
2007.2083,-0.650,1.446,0.796
2007.2917,-0.819,1.223,0.404
2007.3750,-0.634,1.155,0.520
2007.4583,-0.749,0.910,0.161
2007.5417,-0.762,1.100,0.338
2007.6250,-0.866,1.258,0.392
2007.7083,-1.135,1.623,0.488
2007.7917,-1.007,1.674,0.667
2007.8750,-1.091,1.297,0.206
2007.9583,-0.802,1.737,0.934
2008.0417,-0.662,1.548,0.886
2008.1250,-0.899,1.831,0.931
2008.2083,-0.779,1.169,0.390
2008.2917,-0.479,0.824,0.345
2008.3750,-0.725,0.980,0.255
2008.4583,-0.719,1.087,0.368
2008.5417,-0.772,1.167,0.395
2008.6250,-0.718,1.268,0.550
2008.7083,-0.745,1.312,0.567
2008.7917,-1.203,2.115,0.912
2008.8750,-0.815,1.333,0.518
2008.9583,-0.513,1.433,0.920
2009.0417,-0.702,1.826,1.124
2009.1250,-0.763,1.061,0.297
2009.2083,-0.622,1.258,0.636
2009.2917,-0.581,1.055,0.474
2009.3750,-0.691,1.360,0.669
2009.4583,-0.711,0.951,0.240
2009.5417,-0.781,1.101,0.321
2009.6250,-0.930,1.582,0.652
2009.7083,-1.173,1.872,0.700
2009.7917,-0.713,1.211,0.497
2009.8750,-0.670,1.538,0.868
2009.9583,-0.648,1.073,0.425
2010.0417,-0.525,1.009,0.484
2010.1250,-0.606,0.746,0.141
2010.2083,-0.578,1.067,0.489
2010.2917,-0.517,1.007,0.490
2010.3750,-0.696,0.942,0.246
2010.4583,-0.805,1.122,0.317
2010.5417,-0.733,1.329,0.597
2010.6250,-0.839,1.264,0.425
2010.7083,-0.913,1.279,0.366
2010.7917,-0.834,1.401,0.568
2010.8750,-0.751,1.230,0.479
2010.9583,-0.602,0.833,0.231
2011.0417,-0.736,1.290,0.554
2011.1250,-0.615,1.728,1.113
2011.2083,-0.794,1.290,0.497
2011.2917,-0.738,1.422,0.684
2011.3750,-0.681,1.412,0.732
2011.4583,-0.825,1.293,0.468
2011.5417,-0.944,1.053,0.109
2011.6250,-0.840,1.163,0.323
2011.7083,-1.046,1.800,0.754
2011.7917,-1.041,1.880,0.839
2011.8750,-0.855,1.767,0.912
2011.9583,-1.220,2.179,0.959
2012.0417,-0.748,1.749,1.001
2012.1250,-0.837,1.513,0.677
2012.2083,-0.874,1.582,0.708
2012.2917,-0.736,0.798,0.062
2012.3750,-0.643,0.922,0.279
2012.4583,-0.699,0.823,0.124
2012.5417,-0.724,1.043,0.319
2012.6250,-0.726,1.202,0.476
2012.7083,-1.042,1.709,0.668
2012.7917,-0.910,1.183,0.273
2012.8750,-0.764,1.560,0.796
2012.9583,-0.531,1.041,0.510
2013.0417,-0.730,1.534,0.804
2013.1250,-0.633,1.205,0.572
2013.2083,-0.694,0.744,0.051
2013.2917,-0.610,1.233,0.623
2013.3750,-0.659,1.049,0.390
2013.4583,-0.738,1.154,0.415
2013.5417,-0.885,1.408,0.523
2013.6250,-0.805,1.467,0.662
2013.7083,-0.990,1.576,0.586
2013.7917,-0.786,1.362,0.576
2013.8750,-1.114,1.713,0.598
2013.9583,-0.967,2.387,1.420
2014.0417,-0.741,1.963,1.222
2014.1250,-0.644,1.728,1.084
2014.2083,-0.953,1.748,0.796
2014.2917,-0.713,1.244,0.531
2014.3750,-0.644,1.070,0.426
2014.4583,-0.741,1.026,0.285
2014.5417,-0.732,1.136,0.404
2014.6250,-0.783,1.095,0.313
2014.7083,-0.852,1.262,0.411
2014.7917,-0.880,1.690,0.810
2014.8750,-0.721,1.328,0.607
2014.9583,-0.942,1.877,0.935
2015.0417,-0.977,2.209,1.233
2015.1250,-0.677,1.499,0.823
2015.2083,-0.726,1.541,0.815
2015.2917,-0.822,1.362,0.539
2015.3750,-0.654,1.227,0.573
2015.4583,-0.733,1.263,0.530
2015.5417,-0.795,1.230,0.435
2015.6250,-0.838,1.515,0.677
2015.7083,-0.838,1.189,0.352
2015.7917,-0.714,1.386,0.672
2015.8750,-1.105,1.995,0.890
2015.9583,-0.875,2.359,1.485
2016.0417,-0.479,1.192,0.713
2016.1250,-0.756,1.553,0.797
2016.2083,-0.572,1.019,0.447
2016.2917,-0.660,0.840,0.180
2016.3750,-0.529,0.895,0.366
2016.4583,-0.721,0.846,0.125
2016.5417,-0.762,1.372,0.611
2016.6250,-0.876,1.438,0.562
2016.7083,-0.936,1.821,0.885
2016.7917,-0.920,1.392,0.472
2016.8750,-0.791,1.219,0.427
2016.9583,-1.096,2.199,1.103
2017.0417,-0.886,1.560,0.673
2017.1250,-0.657,1.382,0.725
2017.2083,-0.695,1.346,0.651
2017.2917,-0.780,1.214,0.434
2017.3750,-0.735,1.085,0.349
2017.4583,-0.705,1.259,0.554
2017.5417,-0.713,1.190,0.478
2017.6250,-0.845,1.371,0.525
2017.7083,-0.797,1.328,0.530
2017.7917,-0.949,1.648,0.700
2017.8750,-1.122,1.579,0.457
2017.9583,-0.914,1.363,0.449
2018.0417,-0.623,1.603,0.981
2018.1250,-0.734,1.490,0.756
2018.2083,-0.724,0.968,0.245
2018.2917,-0.523,1.028,0.506
2018.3750,-0.669,1.195,0.526
2018.4583,-0.804,1.201,0.397
2018.5417,-0.730,1.226,0.496
2018.6250,-1.005,1.610,0.604
2018.7083,-1.084,1.819,0.735
2018.7917,-1.127,1.784,0.657
2018.8750,-0.726,1.445,0.719
2018.9583,-0.481,1.280,0.799
2019.0417,-0.991,1.293,0.302
2019.1250,-0.636,1.511,0.875
2019.2083,-0.818,1.588,0.770
2019.2917,-0.668,0.970,0.303
2019.3750,-0.680,0.869,0.189
2019.4583,-0.588,0.917,0.329
2019.5417,-0.703,1.156,0.453
2019.6250,-0.771,1.343,0.571
2019.7083,-0.898,1.495,0.596
2019.7917,-0.825,1.495,0.669
2019.8750,-0.706,0.795,0.089
2019.9583,-0.697,1.673,0.976
2020.0417,-1.169,2.406,1.237
2020.1250,-0.838,2.202,1.364
2020.2083,-0.614,1.567,0.953
2020.2917,-0.823,1.137,0.315
2020.3750,-0.624,1.135,0.511
2020.4583,-0.633,0.821,0.188
2020.5417,-0.746,1.321,0.575
2020.6250,-0.839,1.193,0.354
2020.7083,-1.012,1.621,0.609
2020.7917,-0.778,1.088,0.311
2020.8750,-0.978,1.953,0.975
2020.9583,-0.789,1.327,0.538
2021.0417,-0.615,0.950,0.335
2021.1250,-0.556,1.468,0.913
2021.2083,-0.786,1.489,0.703
2021.2917,-0.873,1.027,0.154
2021.3750,-0.637,0.886,0.249
2021.4583,-0.803,1.231,0.428
2021.5417,-0.749,1.066,0.317
2021.6250,-0.769,1.116,0.347
2021.7083,-0.842,1.417,0.576
2021.7917,-1.091,1.803,0.712
2021.8750,-1.134,1.566,0.433
2021.9583,-0.537,1.111,0.574
2022.0417,-0.971,1.826,0.855
2022.1250,-0.948,2.163,1.216
2022.2083,-0.811,1.451,0.641
2022.2917,-0.608,0.850,0.242
2022.3750,-0.623,1.190,0.567
2022.4583,-0.759,1.417,0.658
2022.5417,-0.939,1.447,0.508
2022.6250,-0.926,1.478,0.552
2022.7083,-0.965,1.106,0.141
2022.7917,-1.026,1.775,0.749
2022.8750,-0.667,1.728,1.061
2022.9583,-0.753,1.111,0.358
2023.0417,-0.659,1.414,0.755
2023.1250,-0.969,1.861,0.892
2023.2083,-0.527,0.841,0.314
2023.2917,-0.595,0.973,0.379
2023.3750,-0.690,1.102,0.412
2023.4583,-0.624,0.924,0.299
2023.5417,-0.749,1.159,0.409
2023.6250,-0.889,1.279,0.389
2023.7083,-0.811,1.537,0.726
2023.7917,-1.056,1.401,0.345
2023.8750,-0.737,1.167,0.430
2023.9583,-0.712,1.452,0.740
2024.0417,-0.516,1.351,0.835
2024.1250,-0.817,1.630,0.814
2024.2083,-0.623,1.204,0.581
2024.2917,-0.517,0.998,0.481
2024.3750,-0.617,0.976,0.358
2024.4583,-0.671,1.087,0.416
2024.5417,-0.670,1.093,0.423
2024.6250,-0.904,1.807,0.903
2024.7083,-0.987,1.267,0.280
2024.7917,-0.807,1.421,0.614
2024.8750,-0.985,1.496,0.512
2024.9583,-1.005,1.610,0.605
2025.0417,-0.668,1.207,0.538
2025.1250,-0.720,1.493,0.773
2025.2083,-0.705,1.121,0.415
2025.2917,-0.630,0.934,0.304
2025.3750,-0.720,0.941,0.221
2025.4583,-0.733,1.488,0.755
2025.5417,-0.881,1.268,0.387
2025.6250,-0.900,1.425,0.526
2025.7083,-0.907,1.606,0.699
2025.7917,-1.124,1.566,0.442
2025.8750,-0.887,1.321,0.434
2025.9583,-0.789,1.704,0.915
